,pubchem id,common name,flavor profile
0,4,1-Aminopropan-2-ol,{'fishy'}
1,49,3-Methyl-2-oxobutanoic acid,{'fruity'}
2,58,2-oxobutanoic acid,"{'creamy', 'caramel', 'brown', 'sweet', 'lactonic'}"
3,70,4-Methyl-2-oxovaleric acid,{'fruity'}
4,72,"3,4-Dihydroxybenzoic Acid","{'phenolic', 'mild', 'balsamic'}"
5,107,3-Phenylpropanoic acid,"{'balsamic', 'sweet', 'rose', 'musk', 'fatty', 'cinnamon'}"
6,126,4-hydroxybenzaldehyde,"{'nutty', 'sweet', 'almond', 'balsam', 'woody'}"
7,135,4-Hydroxybenzoic Acid,"{'nutty', 'phenolic'}"
8,177,acetaldehyde,"{'ether', 'aldehydic', 'fruity', 'pungent', 'ethereal', 'whiskey'}"
9,179,acetoin,"{'creamy', 'dairy', 'butter', 'sweet', 'buttery', 'cream', 'fatty', 'milky'}"
10,180,acetone,"{'pear', 'solvent', 'apple', 'ethereal'}"
11,240,benzaldehyde,"{'cherry', 'sweet', 'strong', 'sharp', 'bitter', 'almond', 'burnt sugar'}"
12,243,benzoic acid,"{'faint', 'balsam', 'urine'}"
13,244,benzyl alcohol,"{'berry', 'balsamic', 'cherry', 'sweet', 'phenolic', 'walnut', 'floral', 'rose', 'flower', 'grapefruit'}"
14,247,betaine,{'bland'}
15,261,butyraldehyde,"{'apple', 'spicy', 'woody', 'malty', 'nutty', 'citrus', 'cocoa', 'fruity', 'pear', 'wine_like', 'floral', 'musty', 'fatty', 'creamy', 'chocolate', 'herbaceous', 'bready', 'meaty', 'earthy', 'vegetable', 'green', 'pungent'}"
16,263,1-butanol,"{'medicinal', 'medicine', 'sweet', 'vanilla', 'fusel', 'oil', 'fruit', 'balsam'}"
17,264,butyric acid,"{'fruit', 'butter', 'rancid', 'sharp', 'acetic', 'sweat', 'cheese'}"
18,284,formic acid,"{'vinegar', 'formyl', 'pungent'}"
19,323,coumarin,"{'new mown hay', 'sweet', 'green', 'bitter', 'tonka'}"
20,325,4-isopropylbenzyl alcohol,"{'cumin', 'herb', 'herbal', 'strong', 'wood', 'leather', 'caraway', 'spicy'}"
21,326,4-isopropylbenzaldehyde,"{'acid', 'cumin', 'herbal', 'sharp', 'green', 'oily', 'spicy'}"
22,332,2-Methoxy-4-vinylphenol,"{'smoky', 'curry', 'clove', 'spicy', 'peanut'}"
23,335,o-cresol,"{'phenol', 'phenolic', 'musty', 'medicinal'}"
24,338,salicylic acid,"{'nutty', 'phenolic', 'faint'}"
25,342,m-cresol,"{'medicinal', 'medical', 'plastic', 'phenolic', 'leather', 'woody', 'fecal'}"
26,379,octanoic acid,"{'rancid', 'cheesy', 'vegetable', 'oily', 'fatty', 'waxy', 'sweat', 'cheese'}"
27,402,hydrogen sulfide,"{'egg', 'rotten'}"
28,454,Octanal,"{'aldehydic', 'orange peel', 'citrus', 'green', 'fat', 'fatty', 'waxy', 'soap', 'lemon'}"
29,460,guaiacol,"{'medicinal', 'medicine', 'sweet', 'phenolic', 'smoky', 'vanilla', 'spice', 'smoke', 'woody'}"
30,527,Propionaldehyde,"{'solvent', 'nutty', 'cocoa', 'earthy', 'wine', 'pungent', 'whiskey', 'alcohol'}"
31,602,Dl-Alanine,{'odorless'}
32,612,lactic acid,{'odorless'}
33,650,"2,3-butanedione","{'creamy', 'caramel', 'butter', 'sweet', 'strong', 'oily', 'pungent'}"
34,679,dimethyl sulfoxide,"{'mushroom', 'bitter', 'cheesy', 'oily', 'fatty', 'garlic'}"
35,702,ethanol,"{'medical', 'sweet', 'strong', 'alcoholic', 'ethereal'}"
36,753,glycerol,"{'sweet', 'odorless'}"
37,768,hydrogen cyanide,{'bitter'}
38,784,hydrogen peroxide,{'bitter'}
39,798,indole,"{'fishy', 'moth ball', 'naphthelene', 'jasmine', 'animal', 'floral', 'mothball', 'burnt', 'fecal', 'honey'}"
40,802,indole-3-acetic acid,"{'sour', 'mild', 'odorless'}"
41,875,DL-Tartaric acid,"{'very mild', 'caramellic'}"
42,878,methanethiol,"{'gasoline', 'garlic', 'sulfur', 'decomposing cabbage'}"
43,880,methylglyoxal,"{'brown', 'sweet', 'acidic', 'rum', 'ethereal'}"
44,957,1-octanol,"{'chemical', 'aldehydic', 'metal', 'mushroom', 'green', 'rose', 'orange', 'waxy', 'burnt'}"
45,964,3-Hydroxypyruvic acid,"{'sour', 'radish', 'cabbage'}"
46,985,palmitic acid,"{'slightly waxy', 'fatty'}"
47,994,Dl-Phenylalanine,{'odorless'}
48,996,phenol,"{'plastic', 'phenolic', 'rubber', 'phenol'}"
49,998,phenylacetaldehyde,"{'honey', 'hawthorne', 'sweet', 'clover', 'cocoa', 'green', 'bitter', 'floral', 'peanut', 'hyacinth', 'grapefruit'}"
50,999,Phenylacetic Acid,"{'sweet', 'floral', 'honeysuckle', 'waxy', 'sour', 'flower', 'civet', 'honey'}"
51,1001,Phenethylamine,"{'ammoniacal', 'fishy'}"
52,1031,1-propanol,"{'musty', 'alcoholic', 'pungent', 'fusel', 'peanut', 'fermented', 'alcohol'}"
53,1032,propionic acid,"{'vinegar', 'rancid', 'acidic', 'cheesy', 'soy', 'pungent'}"
54,1049,Pyridine,"{'putrid', 'fishy', 'rancid', 'amine', 'sickening', 'sour'}"
55,1060,Pyruvic acid,"{'acetic', 'sharp', 'caramellic', 'sour'}"
56,1068,dimethyl sulfide,"{'radish', 'cabbage', 'green', 'sweet corn', 'vegetable', 'gasoline', 'onion', 'sulfurous', 'sulfur', 'wild', 'tomato', 'sulfury'}"
57,1110,succinic acid,"{'sour', 'odorless'}"
58,1119,sulfur dioxide,{'bitter'}
59,1130,thiamine,{'bitter'}
60,1136,4-Methyl-5-Thiazoleethanol,"{'sulfur', 'fatty', 'cooked beef juice'}"
61,1146,trimethylamine,"{'sweaty', 'fishy', 'rancid', 'fish', 'fruity', 'oily'}"
62,1183,vanillin,"{'creamy', 'sweet', 'chocolate', 'vanilla'}"
63,1491,"2,4-dihydroxybenzoic acid","{'phenolic', 'mild'}"
64,1889,DL-Liquiritigenin,{'bitter'}
65,2345,Benzyl Benzoate,"{'cherry', 'balsamic', 'herb', 'herbal', 'sweet', 'faint', 'oily', 'strawberry', 'oil', 'pineapple', 'almond', 'balsam', 'cheese'}"
66,2519,caffeine,"{'bitter', 'odorless'}"
67,2879,P-Cresol,"{'phenol', 'medicinal', 'medicine', 'phenolic', 'smoke', 'mimosa', 'animal', 'narcissus'}"
68,2969,Decanoic acid,"{'rancid', 'citrus', 'fat', 'fatty', 'sour', 'unpleasant'}"
69,3102,Benzophenone,"{'metallic', 'apricot', 'geranium', 'powdery', 'rose', 'balsam', 'peach'}"
70,3314,eugenol,"{'sweet', 'clove', 'cinnamon', 'spicy', 'woody', 'honey'}"
71,3776,isopropanol,"{'musty', 'woody', 'bitter', 'alcohol'}"
72,3893,lauric acid,"{'metal', 'coconut', 'mild', 'fatty', 'bay oil'}"
73,4133,methyl salicylate,"{'peppermint', 'mint', 'wintergreen'}"
74,4788,phloretin,"{'bitter', 'odorless'}"
75,5054,resorcinol,"{'creamy', 'hawthorn', 'nutty', 'phenolic', 'musty'}"
76,5281,stearic acid,"{'mild', 'fatty', 'odorless'}"
77,5960,L-aspartic acid,{'odorless'}
78,6050,Tributyrin,"{'creamy', 'bitter', 'fatty', 'waxy', 'cheese'}"
79,6054,2-Phenylethanol,"{'rose flower', 'rose dried', 'lilac', 'rose water', 'bitter', 'spice', 'floral', 'rose', 'honey'}"
80,6072,Phlorizin,{'bitter'}
81,6140,L-phenylalanine,"{'bitter', 'odorless'}"
82,6184,Hexanal,"{'grass', 'sweaty', 'tallow', 'leafy', 'aldehydic', 'fresh', 'green', 'fruity', 'fat', 'fatty'}"
83,6202,Thiamine Hydrochloride,"{'sour', 'mild', 'bitter'}"
84,6251,D-mannitol,"{'sweet', 'odorless'}"
85,6354,Oxirane,{''}
86,6506,Triethyl Citrate,"{'odorless', 'mild', 'bitter', 'fruity', 'wine'}"
87,6544,Isophorone,"{'cedarwood', 'camphoraceous', 'cooling', 'sweet', 'tobacco', 'camphor', 'green', 'fruity', 'leather', 'musty', 'woody'}"
88,6549,Linalool,"{'citrus', 'sweet', 'lavender', 'blueberry', 'green', 'floral', 'orange', 'bois de rose', 'flower', 'woody', 'lemon'}"
89,6560,2-Methyl-1-propanol,"{'ether', 'wine', 'bitter', 'solvent'}"
90,6561,Isobutyraldehyde,"{'aldehydic', 'fresh', 'green', 'floral', 'pungent', 'malt'}"
91,6569,2-Butanone,"{'ether', 'camphor', 'acetone', 'fruity', 'ethereal'}"
92,6584,Methyl Acetate,"{'sweet', 'ether', 'bitter', 'fruity'}"
93,6590,Isobutyric Acid,"{'cheese', 'strawberry', 'butter', 'rancid'}"
94,6654,Alpha-Pinene,"{'sweet', 'camphor', 'fresh', 'harsh', 'earthy', 'terpene', 'minty', 'turpentine', 'pine', 'woody'}"
95,6736,3-Methylindole,"{'very strong', 'animal', 'mothball', 'civet', 'fecal', 'indole'}"
96,6874,Isoamyl salicylate,"{'herbal', 'metallic', 'tobacco', 'bitter', 'floral', 'orchid', 'wintergreen', 'soapy', 'woody'}"
97,6915,2-Ethylbutyric Acid,"{'berry', 'caramel', 'acidic', 'fruity', 'dry', 'sour', 'whiskey'}"
98,6943,2-Isopropylphenol,"{'phenolic', 'creosote', 'medicinal'}"
99,6985,"2',4'-Dimethylacetophenone","{'sweet', 'mimosa', 'floral', 'minty', 'woody'}"
100,6986,2-Isopropyl-5-methylcyclohexanone,"{'mint', 'sweet', 'fresh', 'green', 'peppermint', 'minty', 'cool'}"
101,6989,Thymol,"{'medicinal', 'herbal', 'thyme', 'camphor', 'phenolic'}"
102,6998,Salicylaldehyde,"{'cooling', 'medical', 'wintergreen', 'cinnamon', 'spicy'}"
103,7002,1-Methylnaphthalene,"{'chemical', 'naphthyl', 'medicinal', 'camphor'}"
104,7043,"1,2-Dimethoxybenzene","{'creamy', 'sweet', 'phenolic', 'vanilla', 'musty'}"
105,7047,Quinoline,"{'medical', 'tobacco', 'earthy', 'rubber', 'musty'}"
106,7059,6-Methylquinoline,"{'tobacco', 'leather', 'castoreum', 'tonka', 'civet', 'fecal'}"
107,7095,Biphenyl,"{'pungent', 'geranium', 'rose', 'green'}"
108,7144,2-Methoxy-4-Methylphenol,"{'medicinal', 'medical', 'phenolic', 'smoky', 'carnation', 'leather', 'bitter', 'vanilla', 'spice', 'bacon', 'clove', 'mesquite'}"
109,7147,1-Phenyl-1-propanol,"{'sweet', 'balsam', 'floral'}"
110,7148,Propiophenone,"{'lilac', 'hawthorn'}"
111,7150,Methyl Benzoate,"{'herb', 'lettuce', 'phenolic', 'sweet', 'cananga', 'floral', 'wintergreen', 'prune', 'almond'}"
112,7151,Methyl Nicotinate,"{'herbal', 'tobacco', 'warm'}"
113,7165,Ethyl Benzoate,"{'plum', 'banana', 'grape', 'anise', 'flower', 'cranberry', 'cherry', 'fruity', 'dry', 'camomile', 'fruit', 'strawberry', 'celery', 'berry', 'sweet', 'bitter', 'musty', 'minty', 'wintergreen', 'raspberry', 'balsam'}"
114,7193,Isopentyl benzoate,"{'waxy', 'sweet', 'balsamic', 'green'}"
115,7222,Benzothiazole,"{'nutty', 'cooked', 'rubbery', 'vegetable', 'rubber', 'meat', 'gasoline', 'sulfury', 'coffee'}"
116,7249,"3,4-Dimethylphenol","{'dry', 'flat'}"
117,7267,"2,5-Dimethylphenol","{'sweet', 'naphthyl', 'phenolic', 'smoke', 'bacon'}"
118,7284,2-Methylbutyraldehyde,"{'nutty', 'cocoa', 'musty', 'almond', 'coffee'}"
119,7288,3-Pentanone,"{'ether', 'acetone', 'ethereal'}"
120,7302,gamma-Butyrolactone,"{'creamy', 'caramel', 'sweet', 'oily', 'fatty'}"
121,7341,2-Methylpentanoic acid,"{'sour', 'cheese'}"
122,7342,Ethyl Isobutyrate,"{'sweet', 'rummy', 'fruity', 'rubber', 'alcoholic', 'ethereal', 'fusel', 'strawberry'}"
123,7344,Ethyl Lactate,"{'butter', 'sharp', 'fruity', 'buttery', 'butterscotch', 'fruit', 'tart'}"
124,7351,Isobutyl isobutyrate,"{'pineapple', 'tropical', 'grape skin'}"
125,7359,2-Ethylbutanal,"{'sweet', 'cocoa', 'fruity', 'green', 'ethereal'}"
126,7360,Tetrahydrofurfuryl Alcohol,"{'caramel', 'cauliflower', 'warm', 'vegetable', 'faint', 'oily'}"
127,7361,Furfuryl Alcohol,"{'chemical', 'caramel', 'sweet', 'bitter', 'coffee', 'musty', 'alcoholic', 'burnt', 'bread'}"
